Timestamp,What is your age?,What is your gender identification?,Which major competitive exam are you primarily preparing for / have taken?,How many times have you attempted this specific competitive exam?,How would you describe your score/performance in your most recent attempt?,"If you comfortable sharing, what was your approximate percentile or score range in your last attempt? (out of 100)","On average, how many hours per day do you dedicate to self-study and classes?",How many hours of sleep do you get on an average night during peak exam preparation?,What is your primary method of test preparation?,"On a scale of 1 to 10, how would you rate your overall daily stress level during the exam preparation phase?",Have you experienced any of the following physical or emotional symptoms regularly during your preparation? ,What do you feel is the primary source of your competitive exam stress?,Do you feel that your academic institution or coaching center provides adequate mental health or counseling support?,Column 14,Column 15,Column 16
01/06/2026 12:00:06,18 – 20,Male,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),98.67,7-11 hours,5-6 hours,Offline physical coaching institutes / bootcamps,8,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",,,,
01/06/2026 13:33:10,24-26,Male,Civil Services / Government Exams,3rd attempt,Below Average (Did not qualify),,4-7 hours,less than 5 hours,Online coaching apps / recorded platforms,8,"Chronic sleep deprivation / Insomnia, Imposter syndrome (feeling like you aren't smart enough)","Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 13:44:44,above 26,Male,Civil Services / Government Exams,1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,4-7 hours,7-8 hours,Online coaching apps / recorded platforms,1,None,For my life ,,,,
01/06/2026 13:53:13,18 – 20,Female,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),,7-11 hours,less than 5 hours,Self-study entirely,10,None,Fear of failure / wasting years of preparation,,,,
01/06/2026 13:54:01,21-23,Female,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",Na,4-7 hours,5-6 hours,Self-study entirely,5,None,Family expectations and societal pressure,,,,
01/06/2026 13:58:33,18 – 20,Female,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",96,less than 4,5-6 hours,Self-study entirely,5,"Severe social isolation (cutting off friends/family), Imposter syndrome (feeling like you aren't smart enough)","Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 14:06:27,18 – 20,Male,"Engineering Entrance, Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",yah question mere relatives jaisa kyon sound kar raha hai ,4-7 hours,less than 5 hours,Online coaching apps / recorded platforms,10,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough), anxiety ","Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 14:29:24,24-26,Male,Engineering Entrance,1st attempt (First-timer),Below Average (Did not qualify),,4-7 hours,5-6 hours,Offline physical coaching institutes / bootcamps,6,Imposter syndrome (feeling like you aren't smart enough),"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 14:37:34,Under 18,Male,Engineering Entrance,1st attempt (First-timer),Below Average (Did not qualify),50,less than 4,more than 8 hours,Offline physical coaching institutes / bootcamps,5,When I try to study PCM I feel like I am wasting my time .,"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",,,,
01/06/2026 14:42:23,21-23,Female,Medical Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",No I’m not comfortable ,7-11 hours,5-6 hours,Online coaching apps / recorded platforms,8,"Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)",Family expectations and societal pressure,,,,
01/06/2026 14:43:30,18 – 20,Male,"Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,less than 4,5-6 hours,Online coaching apps / recorded platforms,8,None,Fear of failure / wasting years of preparation,,,,
01/06/2026 15:05:13,Under 18,Male,Engineering Entrance,1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,less than 4,less than 5 hours,Self-study entirely,10,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 15:53:29,18 – 20,Male,Engineering Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",92.1,4-7 hours,less than 5 hours,Self-study entirely,8,None,Fear of failure / wasting years of preparation,,,,
01/06/2026 18:33:20,18 – 20,Female,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",80,7-11 hours,less than 5 hours,Self-study entirely,9,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure",,,,
01/06/2026 18:34:53,21-23,Male,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",78,12+ hours,less than 5 hours,Online coaching apps / recorded platforms,5,Frequent headaches or physical fatigue,Fear of failure / wasting years of preparation,,,,
01/06/2026 18:39:22,18 – 20,Female,Medical Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",,4-7 hours,5-6 hours,Online coaching apps / recorded platforms,6,"Severe social isolation (cutting off friends/family), Sudden mood swings or panic attacks",Family expectations and societal pressure,,,,
01/06/2026 18:39:26,18 – 20,Female,"Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),N/A (I am a first-time filer and haven't given the exam yet),,less than 4,less than 5 hours,Self-study entirely,5,"Chronic sleep deprivation / Insomnia, Frequent headaches or physical fatigue, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 18:40:08,18 – 20,Female,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),Decent enough to get proper seat.,4-7 hours,5-6 hours,Self-study entirely,8,Imposter syndrome (feeling like you aren't smart enough),"Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 18:40:13,18 – 20,Female,Engineering Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",,4-7 hours,7-8 hours,Online coaching apps / recorded platforms,7,"Frequent headaches or physical fatigue, Sudden mood swings or panic attacks","Fear of failure / wasting years of preparation, Family expectations and societal pressure",,,,
01/06/2026 18:41:48,21-23,Female,"Medical Entrance, Other~",2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",,4-7 hours,7-8 hours,Offline physical coaching institutes / bootcamps,5,"Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Seeing peers move ahead in life",,,,
01/06/2026 18:43:28,18 – 20,Male,Engineering Entrance,2nd attempt,"Average (Passed, but did not achieve the required cutoff/rank)",65,less than 4,7-8 hours,Online coaching apps / recorded platforms,6,Sudden mood swings or panic attacks,"Fear of failure / wasting years of preparation, Family expectations and societal pressure",,,,
01/06/2026 19:11:24,18 – 20,Female,Other~,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",,less than 4,less than 5 hours,Online coaching apps / recorded platforms,10,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life",,,,
01/06/2026 19:14:33,18 – 20,Female,"Civil Services / Government Exams, Management / Graduate Admissions (e.g., CAT, GATE, GRE, GMAT)",1st attempt (First-timer),Below Average (Did not qualify),I don't remember ,less than 4,7-8 hours,Online coaching apps / recorded platforms,8,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",,,,
01/06/2026 19:15:44,18 – 20,Male,Medical Entrance,2nd attempt,Excellent (Cleared the exam / Achieved target cutoff),,7-11 hours,7-8 hours,Offline physical coaching institutes / bootcamps,8,"Severe social isolation (cutting off friends/family), Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)",Family expectations and societal pressure,,,,
01/06/2026 19:19:10,Under 18,Male,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",80,less than 4,less than 5 hours,Online coaching apps / recorded platforms,9,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",,,,
01/06/2026 19:20:45,Under 18,Male,Other~,4 or more attempts,Excellent (Cleared the exam / Achieved target cutoff),1E+30,less than 4,more than 8 hours,Self-study entirely,1,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough), None, Form acche se banao","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living), Pata nai",,,,
01/06/2026 19:25:03,18 – 20,Female,Civil Services / Government Exams,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",,7-11 hours,less than 5 hours,Online coaching apps / recorded platforms,5,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Financial strain (high cost of coaching/living)",,,,
01/06/2026 19:27:46,21-23,Female,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",77,less than 4,5-6 hours,Self-study entirely,5,"Chronic sleep deprivation / Insomnia, Frequent headaches or physical fatigue, Imposter syndrome (feeling like you aren't smart enough)",Financial strain (high cost of coaching/living),,,,
01/06/2026 19:40:34,18 – 20,Female,Medical Entrance,1st attempt (First-timer),Below Average (Did not qualify),,4-7 hours,5-6 hours,Self-study entirely,10,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Financial strain (high cost of coaching/living)",,,,
01/06/2026 20:01:08,18 – 20,Male,Engineering Entrance,1st attempt (First-timer),Excellent (Cleared the exam / Achieved target cutoff),98.22 %ile,12+ hours,less than 5 hours,Offline physical coaching institutes / bootcamps,10,"Chronic sleep deprivation / Insomnia, Severe social isolation (cutting off friends/family), Frequent headaches or physical fatigue, Sudden mood swings or panic attacks, Imposter syndrome (feeling like you aren't smart enough)","Fear of failure / wasting years of preparation, Family expectations and societal pressure, Seeing peers move ahead in life, Financial strain (high cost of coaching/living)",,,,
01/06/2026 20:04:15,Under 18,Female,Engineering Entrance,1st attempt (First-timer),"Average (Passed, but did not achieve the required cutoff/rank)",,4-7 hours,less than 5 hours,Offline physical coaching institutes / bootcamps,6,None,Fear of failure / wasting years of preparation,,,,
01/06/2026 20:04:55,21-23,Male,Engineering Entrance,4 or more attempts,"Average (Passed, but did not achieve the required cutoff/rank)",100,less than 4,more than 8 hours,Self-study entirely,5,None,Fear of failure / wasting years of preparation,,,,
